|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|
|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|
|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|
|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|
|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|
|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|
|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|
|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|
|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
