//Tohle je počáteční konfigurace herního pole, řádky začínající s / jsou ignorovány, je možné položit bloky s hodnotami
// 3,5,8,11 a 0 - prázdné místo, je potřeba zaplnit celé pole 15x15, jinak se použije výchozí pole

|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|
|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|
|11|11|11|11|11|11|11|11|11|11|11|11|11|11|11|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|
|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|
|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|
|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|
|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|
|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|
|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
